Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Age 11-60 All,0.00167816,0.0020775,1.001679569,0.997609123,1.005767,-0.02147432,0.01911227,0.997854872,0.994123895,1.001599851,0.000246347,0.000735415,1.003158218,0.984819553,1.021838,2.01E-05,0.000263523,1.000130398,0.996778307,1.003494,,1.001679569,0.997609123,1.005766623,0.997854872,0.994123895,1.001599851,1.003158218,0.984819553,1.021838375,1.000130659,0.996778567,1.003494023
Age 11-60 Female,-0.002814811,0.002887142,0.997189147,0.991562191,1.002848,-0.082327237,0.026428801,0.991801072,0.986676782,0.996951976,0.000339975,0.000954847,1.004361162,0.980587378,1.028711,-0.000474498,0.000365817,0.996920514,0.992285168,1.001578,,0.997189147,0.991562191,1.002848035,0.991801072,0.986676782,0.996951976,1.004361162,0.980587378,1.028711328,0.996920514,0.992285168,1.001577515
Age 11-60 Male,0.004744054,0.002318623,1.004755325,1.000199573,1.009332,0.02170307,0.02139625,1.002172664,0.997978688,1.006384265,0.000276372,0.000993812,1.003543826,0.97883206,1.028879,0.000361755,0.000294394,1.002354174,0.998601806,1.006121,,1.004755325,1.000199573,1.009331828,1.002172664,0.997978688,1.006384265,1.003543826,0.97883206,1.02887947,1.002354174,0.998601806,1.006120642
Age 60+All,-0.002522519,0.003380005,0.99748066,0.990894381,1.004111,-0.02609039,0.03091818,0.997394362,0.991368465,1.003456886,0.000398537,0.001322926,1.005114307,0.972302515,1.039033,-0.000769957,0.000428673,0.995007782,0.989588564,1.000457,,0.99748066,0.990894381,1.004110717,0.997394362,0.991368465,1.003456886,1.005114307,0.972302515,1.039033383,0.995007782,0.989588564,1.000456678
Age 60+ Female,-0.006892677,0.004033659,0.993131023,0.985310313,1.001014,-0.07975221,0.03690597,0.992056497,0.984906278,0.999258624,0.000476069,0.001718235,1.006112287,0.963663226,1.050431,-0.00139271,0.00051139,0.990988237,0.984552827,0.997466,,0.993131023,0.985310313,1.001013808,0.992056497,0.984906278,0.999258624,1.006112287,0.963663226,1.050431217,0.990988237,0.984552827,0.99746571
Age 60+ Male,0.004180925,0.004710063,1.004189677,0.994961935,1.013503,0.05615642,0.04299312,1.005631439,0.997192938,1.01414135,0.000554521,0.001989857,1.007123118,0.95808032,1.058676,0.000189006,0.000597859,1.001229294,0.993632176,1.008884,,1.004189677,0.994961935,1.013503002,1.005631439,0.997192938,1.01414135,1.007123118,0.95808032,1.05867635,1.001229294,0.993632176,1.008884498
All: LAG 1,0.001634658,0.001956057,1.001635995,0.997803203,1.005484,0.005771318,0.017982971,1.000577298,0.997056809,1.004110218,0.0002331,0.000600361,1.002988136,0.987994472,1.018209,7.15E-05,0.000247715,1.000465013,0.997312633,1.003627,,1.001635995,0.997803203,1.005483509,1.000577298,0.997056809,1.004110218,1.002988136,0.987994472,1.018209341,1.000464858,0.997312479,1.003627202
Female,-0.001738019,0.002513119,0.99826349,0.993358421,1.003193,-0.03146424,0.02303802,0.996858521,0.992367401,1.001369965,0.000298195,0.000765588,1.00382419,0.984727648,1.023291,-0.000401991,0.000318286,0.997390469,0.993354276,1.001443,,0.99826349,0.993358421,1.00319278,0.996858521,0.992367401,1.001369965,1.00382419,0.984727648,1.023291065,0.997390469,0.993354276,1.001443062
Male,0.004328051,0.002166186,1.004337431,1.00008233,1.008611,0.03632898,0.01994175,1.003639505,0.999724353,1.00756999,0.000259039,0.000773723,1.003321202,0.984033376,1.022987,0.000452105,0.000274275,1.002943005,0.999444573,1.006454,,1.004337431,1.00008233,1.008610636,1.003639505,0.999724353,1.00756999,1.003321202,0.984033376,1.022987085,1.002943005,0.999444573,1.006453682
Warm All,-0.00193255,0.00213011,0.998069316,0.993911048,1.002245,0.03875805,0.02639723,1.003883326,0.99870279,1.009090734,0.000247996,0.000737253,1.003179392,0.984794928,1.021907,-0.000136789,0.000299041,0.999111267,0.995312112,1.002925,,0.998069316,0.993911048,1.002244982,1.003883326,0.99870279,1.009090734,1.003179392,0.984794928,1.021907064,0.999111267,0.995312112,1.002924923
Warm Female,-0.005601769,0.002727962,0.994413892,0.989111143,0.999745,-0.02750283,0.03395607,0.997253496,0.990638422,1.003912742,0.000316733,0.000970977,1.004062412,0.979899084,1.028822,-0.000777839,0.000384174,0.994956806,0.99009901,0.999838,,0.994413892,0.989111143,0.999745069,0.997253496,0.990638422,1.003912742,1.004062412,0.979899084,1.028821583,0.994956806,0.99009901,0.999838436
Warm Male,0.000963448,0.002527481,1.000963912,0.996017536,1.005935,0.091052373,0.031167042,1.009146816,1.003000991,1.015330299,0.000295023,0.000973563,1.003783434,0.979563265,1.028602,0.000366769,0.000353749,1.002386842,0.997879488,1.006915,,1.000963912,0.996017536,1.005934853,1.009146816,1.003000991,1.015330299,1.003783434,0.979563265,1.028602457,1.002386842,0.997879488,1.006914557
Cold All,0.003678233,0.00348594,1.003685006,0.99685076,1.010566,-0.01850487,0.02438506,0.998151224,0.993391971,1.002933278,0.000435419,0.000992908,1.005588923,0.980849042,1.030953,4.45E-05,0.00038947,1.000289167,0.995338178,1.005265,,1.003685006,0.99685076,1.010566107,0.998151224,0.993391971,1.002933278,1.005588923,0.980849042,1.030952816,1.000289292,0.995338302,1.005264909
Cold Female,0.000220541,0.00449216,1.000220565,0.991452646,1.009066,-0.04041457,0.03146222,0.995966699,0.989843873,1.002127398,0.000557061,0.001234046,1.007155862,0.976452312,1.038825,-0.00032189,0.000501994,0.997909902,0.99154823,1.004312,,1.000220565,0.991452646,1.009066024,0.995966699,0.989843873,1.002127398,1.007155862,0.976452312,1.038824855,0.997909902,0.99154823,1.00431239
Cold Male,0.006523162,0.003737538,1.006544484,0.999197909,1.013945,-0.000244692,0.026105952,0.999975531,0.994871958,1.005105285,0.000469403,0.001260486,1.006026445,0.974710559,1.038348,0.000346891,0.000417499,1.002257335,0.996940544,1.007602,,1.006544484,0.999197909,1.013945074,0.999975531,0.994871958,1.005105285,1.006026445,0.974710559,1.038348459,1.002257335,0.996940544,1.007602482
Age 0-10 All,0.001364658,0.003984906,1.00136559,0.993574972,1.009217,0.02815991,0.03735606,1.00281996,0.995504339,1.01018934,0.000475425,0.001067609,1.006103994,0.979514014,1.033416,0.000183678,0.000507743,1.00119462,0.994739148,1.007692,,1.00136559,0.993574972,1.009217294,1.00281996,0.995504339,1.01018934,1.006103994,0.979514014,1.033415788,1.00119462,0.994739148,1.007691985
Age 0-10 Female,0.003139132,0.005616291,1.003144064,0.99216208,1.014248,0.04761266,0.0525028,1.004772619,0.994485976,1.015165664,0.000668397,0.001475761,1.008592184,0.971932997,1.046634,0.000627801,0.000716807,1.004089044,0.994961322,1.013301,,1.003144064,0.99216208,1.014247606,1.004772619,0.994485976,1.015165664,1.008592184,0.971932997,1.046634076,1.004089044,0.994961322,1.013300503
Age 0-10 Male,0.00005203,0.004903227,1.000052031,0.99048724,1.009709,1.39E-02,0.04604327,1.001390966,0.992394588,1.0104689,0.000586148,0.001307776,1.00753091,0.975010743,1.041136,-0.000138976,0.000623985,0.999097064,0.991186159,1.007071,,1.000052031,0.99048724,1.009709186,1.001390966,0.992394588,1.0104689,1.00753091,0.975010743,1.041135744,0.999097064,0.991186159,1.007071108
Age 11-60 All,0.003192748,0.002110901,1.00319785,0.999055828,1.007357,0.01580042,0.01935013,1.001581291,0.997789862,1.005387126,0.000251903,0.000731888,1.003229562,0.984976744,1.021821,0.000233446,0.000267219,1.001518551,0.998114808,1.004934,,1.00319785,0.999055828,1.007357045,1.001581291,0.997789862,1.005387126,1.003229562,0.984976744,1.021820627,1.001518551,0.998114808,1.004933901
Age 11-60 Female,-0.000810118,0.002895387,0.99919021,0.993535906,1.004877,-0.02649793,0.02646448,0.997353715,0.992193797,1.002540467,0.000343432,0.000954118,1.004405606,0.980648705,1.028738,-0.000363166,0.000366471,0.997642205,0.992995229,1.002311,,0.99919021,0.993535906,1.004876693,0.997353715,0.992193797,1.002540467,1.004405606,0.980648705,1.028738035,0.997642205,0.992995229,1.002310928
Age 11-60 Male,0.005947546,0.002367756,1.005965268,1.001307598,1.010645,0.04573572,0.02172079,1.004584047,1.000316347,1.008869954,0.000283767,0.000987909,1.003638822,0.9790697,1.028824,0.000650326,0.000299686,1.004236066,1.000409203,1.008078,,1.005965268,1.001307598,1.010644603,1.004584047,1.000316347,1.008869954,1.003638822,0.9790697,1.02882449,1.004236066,1.000409203,1.008077568
Age 60+All,-0.004118731,0.003416199,0.995889739,0.989243785,1.00258,-0.04559247,0.03128721,0.995451131,0.989365411,1.001574284,0.000404965,0.001326988,1.00519701,0.972283429,1.039225,-0.000614833,0.000431701,0.996011561,0.990548662,1.001505,,0.995889739,0.989243785,1.002580342,0.995451131,0.989365411,1.001574284,1.00519701,0.972283429,1.039224775,0.996011561,0.990548662,1.001504587
Age 60+ Female,-0.006376652,0.004072139,0.993643636,0.985744541,1.001606,-0.07800263,0.03723567,0.99223008,0.985014956,0.999498054,0.000482933,0.001715966,1.006200688,0.963802759,1.050464,-0.000959392,0.000514874,0.993783356,0.987285972,1.000323,,0.993643636,0.985744541,1.001606029,0.99223008,0.985014956,0.999498054,1.006200688,0.963802759,1.050463712,0.993783356,0.987285972,1.000323499
Age 60+ Male,-0.000644481,0.00472794,0.999355727,0.990137711,1.00866,0.004375795,0.043359525,1.000437675,0.991971514,1.008976092,0.000559902,0.002009093,1.007192488,0.957684028,1.05926,-8.66E-05,0.000596969,0.999437293,0.99186502,1.007067,,0.999355727,0.990137711,1.00865956,1.000437675,0.991971514,1.008976092,1.007192488,0.957684028,1.059260339,0.999437258,0.991864985,1.007067342
All: LAG2,0.004372855,0.00199612,1.00438243,1.000460566,1.00832,0.02756846,0.01826049,1.00276065,0.999178128,1.006356016,0.000238539,0.000601594,1.003057965,0.988032694,1.018312,0.000336691,0.000252686,1.002190888,0.998969803,1.005422,,1.00438243,1.000460566,1.008319668,1.00276065,0.999178128,1.006356016,1.003057965,0.988032694,1.01831173,1.002190888,0.998969803,1.005422359
Female,0.002593456,0.002526834,1.002596822,0.997643642,1.007575,0.007907864,0.023082526,1.000791099,0.996273572,1.005329111,3.01E-04,0.000768354,1.003854783,0.984689326,1.023393,0.000124649,0.000319627,1.000810547,0.996743485,1.004894,,1.002596822,0.997643642,1.007574594,1.000791099,0.996273572,1.005329111,1.003860232,0.98469467,1.023398821,1.000810547,0.996743485,1.004894204
Male,0.005809694,0.002225292,1.005826603,1.001449171,1.010223,0.04376852,0.02037925,1.004386444,1.000382592,1.008406321,0.000266855,0.000774361,1.003421584,0.984116077,1.023106,0.000509209,0.000281819,1.003315342,0.999719524,1.006924,,1.005826603,1.001449171,1.010223169,1.004386444,1.000382592,1.008406321,1.003421584,0.984116077,1.02310581,1.003315342,0.999719524,1.006924094
Warm All,-0.000335528,0.002272075,0.999664528,0.995222653,1.004126,0.03262527,0.02762078,1.003267855,0.997851166,1.008713947,0.000267026,0.000743885,1.003423781,0.984870957,1.022326,-0.000044452,0.000318718,0.999711104,0.99566004,1.003779,,0.999664528,0.995222653,1.004126229,1.003267855,0.997851166,1.008713947,1.003423781,0.984870957,1.022326099,0.999711104,0.99566004,1.00377865
Warm Female,-0.003174585,0.002789926,0.996830449,0.991394402,1.002296,-0.03315688,0.03409596,0.996689803,0.990051323,1.003372795,0.000326796,0.000982471,1.00419175,0.979742748,1.029251,-0.000368084,0.000392182,0.997610314,0.992638286,1.002607,,0.996830449,0.991394402,1.002296302,0.996689803,0.990051323,1.003372795,1.00419175,0.979742748,1.029250864,0.997610314,0.992638286,1.002607246
Warm Male,0.001936557,0.002691715,1.001938433,0.996666365,1.007238,0.084588065,0.032566517,1.008494683,1.002077925,1.014952531,0.00031739,0.000979424,1.004070856,0.979699686,1.029048,0.000214227,0.000377024,1.001393445,0.996595,1.006215,,1.001938433,0.996666365,1.00723839,1.008494683,1.002077925,1.014952531,1.004070856,0.979699686,1.029048286,1.001393445,0.996595,1.006214995
Cold All,0.009599903,0.003539103,1.00964613,1.002666811,1.016674,0.01949037,0.02471933,1.001950938,0.997108238,1.006817157,0.000437621,0.000992241,1.005617267,0.980893102,1.030965,0.000588036,0.000394451,1.003829548,0.998797652,1.008887,,1.00964613,1.002666811,1.01667403,1.001950938,0.997108238,1.006817157,1.005617267,0.980893102,1.030964623,1.003829548,0.998797652,1.008886795
Cold Female,0.008807414,0.004553216,1.008846313,0.999883117,1.01789,0.02207485,0.03184606,1.002209923,0.995973784,1.008485109,0.000558923,0.001228398,1.007179867,0.976613958,1.038702,0.000421392,0.000507422,1.002742803,0.996281423,1.009246,,1.008846313,0.999883117,1.017889858,1.002209923,0.995973784,1.008485109,1.007179867,0.976613958,1.038702422,1.002742803,0.996281423,1.009246088
Cold Male,0.010223165,0.003798098,1.0102756,1.002782758,1.017824,0.01728061,0.02647744,1.001729555,0.996544467,1.006941621,0.000471692,0.00125786,1.006055921,0.974803337,1.03831,0.000725621,0.000423007,1.004727677,0.999327653,1.010157,,1.0102756,1.002782758,1.017824429,1.001729555,0.996544467,1.006941621,1.006055921,0.974803337,1.038310475,1.004727677,0.999327653,1.01015688
Age 0-10 All,0.003367946,0.004017832,1.003373624,0.995503137,1.011306,0.01555251,0.03754686,1.001556461,0.994212877,1.008954287,0.000481826,0.001070469,1.00618643,0.979523986,1.033575,-4.52E-05,0.000511954,0.999706434,0.993207273,1.006248,,1.003373624,0.995503137,1.011306336,1.001556461,0.994212877,1.008954287,1.00618643,0.979523986,1.03357462,0.999706243,0.993207083,1.006247931
Age 0-10 Female,-0.002305655,0.005642801,0.997697001,0.986723377,1.008793,-0.001525,0.05253651,0.999847512,0.989604752,1.010196287,0.000673425,0.001482605,1.008657098,0.971828671,1.046881,-6.46E-04,0.000720305,0.995809862,0.986713429,1.00499,,0.997697001,0.986723377,1.008792665,0.999847512,0.989604752,1.010196287,1.008657098,0.971828671,1.046881175,0.995809803,0.986713371,1.004990095
Age 0-10 Male,0.007381386,0.004924778,1.007408696,0.997731398,1.01718,0.02769711,0.04614282,1.00277355,0.99374536,1.011883761,0.000592636,0.001308641,1.007614585,0.975070557,1.041245,0.000376846,0.000626758,1.002452501,0.994479894,1.010489,,1.007408696,0.997731398,1.017179856,1.00277355,0.99374536,1.011883761,1.007614585,0.975070557,1.041244806,1.002452501,0.994479894,1.010489024
Age 11-60 All,0.005710927,0.002153534,1.005727265,1.001491111,1.009981,0.03801484,0.01964679,1.003808719,0.999950714,1.007681608,0.000257751,0.00073488,1.003304661,0.984976539,1.021974,0.000540582,0.000272501,1.003519964,1.000042121,1.00701,,1.005727265,1.001491111,1.009981338,1.003808719,0.999950714,1.007681608,1.003304661,0.984976539,1.021973827,1.003519964,1.000042121,1.007009901
Age 11-60 Female,0.005091372,0.002906305,1.005104355,0.999395197,1.010846,0.02399291,0.02648076,1.002402172,0.997212953,1.007618393,0.000345963,0.000958465,1.004438146,0.98057353,1.028884,0.000444608,0.000367236,1.002894132,0.998212964,1.007597,,1.005104355,0.999395197,1.010846127,1.002402172,0.997212953,1.007618393,1.004438146,0.98057353,1.028883564,1.002894132,0.998212964,1.007597252
Age 11-60 Male,0.006133605,0.00243008,1.006152454,1.001371588,1.010956,0.0480282,0.02218894,1.004814372,1.000453891,1.009193858,0.000291765,0.000991671,1.003741574,0.979077527,1.029027,0.000609984,0.000307721,1.003972767,1.000044531,1.007916,,1.006152454,1.001371588,1.010956146,1.004814372,1.000453891,1.009193858,1.003741574,0.979077527,1.029026937,1.003972767,1.000044531,1.007916432
Age 60+All,1.60E-05,0.003420018,1.00001605,0.993335124,1.006742,-0.003432837,0.031176868,0.999656775,0.993566832,1.005784046,0.000405514,0.001323097,1.005204074,0.972385179,1.039131,-0.000168042,0.00043149,0.998908323,0.993432207,1.004415,,1.000016,0.993335075,1.00674186,0.999656775,0.993566832,1.005784046,1.005204074,0.972385179,1.039130636,0.998908323,0.993432207,1.004414625
Age 60+ Female,-0.001620717,0.004078287,0.998380596,0.990431909,1.006393,-0.02890246,0.03714672,0.997113927,0.989880547,1.004400164,0.00048367,0.001718283,1.00621018,0.963755827,1.050535,-0.000344228,0.000515155,0.997765019,0.991238055,1.004335,,0.998380596,0.990431909,1.006393075,0.997113927,0.989880547,1.004400164,1.00621018,0.963755827,1.050534687,0.997765019,0.991238055,1.004334962
Age 60+ Male,0.00249653,0.004729011,1.002499649,0.993250549,1.011835,0.03546694,0.04310748,1.003552991,0.995109625,1.012067998,0.000560472,0.001994812,1.007199837,0.9580342,1.058889,9.80E-05,0.000595561,1.000637148,0.993073596,1.008258,,1.002499649,0.993250549,1.011834876,1.003552991,0.995109625,1.012067998,1.007199837,0.9580342,1.058888619,1.000637203,0.993073651,1.008258361
All: LAG 3,0.003206035,0.002032517,1.00321118,0.999222604,1.007216,0.01492802,0.01861343,1.001493917,0.997846891,1.005154272,0.000243782,0.000602504,1.003125283,0.988076445,1.018403,0.00017862,0.000256789,1.001161704,0.997891764,1.004442,,1.00321118,0.999222604,1.007215677,1.001493917,0.997846891,1.005154272,1.003125283,0.988076445,1.018403322,1.001161704,0.997891764,1.00444236
Female,0.002604139,0.002549348,1.002607533,0.997610277,1.00763,0.000611742,0.023312709,1.000061176,0.99550203,1.004641202,0.00030472,0.000770119,1.003908033,0.984697955,1.023493,0.000161992,0.000321441,1.001053503,0.996962412,1.005161,,1.002607533,0.997610277,1.007629821,1.000061176,0.99550203,1.004641202,1.003908033,0.984697955,1.023492872,1.001053503,0.996962412,1.005161381
Male,0.00369466,0.002263793,1.003701494,0.999257901,1.008165,0.0267487,0.02074958,1.002678451,0.998608921,1.006764565,0.000272234,0.000776111,1.003490673,0.984140628,1.023221,0.000193025,0.000286447,1.00125545,0.997608193,1.004916,,1.003701494,0.999257901,1.008164846,1.002678451,0.998608921,1.006764565,1.003490673,0.984140628,1.023221177,1.00125545,0.997608193,1.004916042
Warm All,-0.000691924,0.002367079,0.999308315,0.994682788,1.003955,0.02226124,0.02892427,1.002228604,0.996562888,1.007926531,0.000280286,0.000743959,1.003594104,0.985036303,1.022502,-0.0002235,0.000331411,0.998548305,0.994341146,1.002773,,0.999308315,0.994682788,1.003955353,1.002228604,0.996562888,1.007926531,1.003594104,0.985036303,1.022501529,0.998548305,0.994341146,1.002773265
Warm Female,-0.002472278,0.002845733,0.997530776,0.991982399,1.00311,-0.02993128,0.03489426,0.997011347,0.990215777,1.003853553,0.000336265,0.000987713,1.004313468,0.979732649,1.029511,-0.000369295,0.000398707,0.997602461,0.99254796,1.002683,,0.997530776,0.991982399,1.003110185,0.997011347,0.990215777,1.003853553,1.004313468,0.979732649,1.029511004,0.997602461,0.99254796,1.002682702
Warm Male,0.000744732,0.002791501,1.000745009,0.995284543,1.006235,0.06360439,0.03399085,1.00638071,0.999698278,1.01310781,0.000331224,0.000981045,1.004248667,0.979833333,1.029272,-0.000103991,0.000390693,0.999324287,0.99436258,1.004311,,1.000745009,0.995284543,1.006235434,1.00638071,0.999698278,1.01310781,1.004248667,0.979833333,1.029272379,0.999324287,0.99436258,1.004310752
Cold All,0.006501246,0.003548202,1.006522425,0.999546873,1.013547,0.006766164,0.024794942,1.000676845,0.995825545,1.005551779,0.00043826,0.00099636,1.005625492,0.980799767,1.03108,0.000401359,0.000393438,1.002612239,0.99759932,1.00765,,1.006522425,0.999546873,1.013546658,1.000676845,0.995825545,1.005551779,1.005625492,0.980799767,1.031079599,1.002612239,0.99759932,1.007650349
Cold Female,0.006740426,0.004547524,1.006763194,0.997829638,1.015777,0.007561424,0.031858676,1.000756428,0.994526874,1.007025003,0.000558265,0.001232384,1.007171384,0.976508077,1.038798,0.000432857,0.000503877,1.002817532,0.996400671,1.009276,,1.006763194,0.997829638,1.015776732,1.000756428,0.994526874,1.007025003,1.007171384,0.976508077,1.038797549,1.002817532,0.996400671,1.009275719
Cold Male,0.006240973,0.003806035,1.006260488,0.998781887,1.013795,0.006109467,0.026528685,1.000611133,0.995421836,1.005827483,0.000472062,0.001260611,1.006060686,0.974740677,1.038387,0.000370443,0.000422154,1.002410781,0.997034045,1.007817,,1.006260488,0.998781887,1.013795088,1.000611133,0.995421836,1.005827483,1.006060686,0.974740677,1.038387057,1.002410781,0.997034045,1.007816512
Age 0-10 All,0.000861646,0.00407555,1.000862017,0.992898901,1.008889,-0.006161993,0.038147762,0.999383991,0.991939501,1.006884351,0.000489912,0.001071803,1.006290577,0.979592588,1.033716,-0.00058712,0.000518868,0.996190993,0.989627511,1.002798,,1.000862017,0.992898901,1.008888999,0.999383991,0.991939501,1.006884351,1.006290577,0.979592588,1.033716197,0.996190993,0.989627511,1.002798005
Age 0-10 Female,-0.006988893,0.005672617,0.993035473,0.982055728,1.004138,-0.06777024,0.05303786,0.993245888,0.982974161,1.003624951,0.00067951,0.001484687,1.008735663,0.971853604,1.047017,-0.001492875,0.000723028,0.990343241,0.981262703,0.999508,,0.993035473,0.982055728,1.004137974,0.993245888,0.982974161,1.003624951,1.008735663,0.971853604,1.047017405,0.990343241,0.981262703,0.99950781
Age 0-10 Male,0.006517212,0.004985495,1.006538495,0.996750931,1.016422,0.03851645,0.04671286,1.003859072,0.994709966,1.013092329,0.000601081,0.001311222,1.00772351,0.975112821,1.041425,6.33E-05,0.000634385,1.000411566,0.99235876,1.00853,,1.006538495,0.996750931,1.016422168,1.003859072,0.994709966,1.013092329,1.00772351,0.975112821,1.041424799,1.000411535,0.992358729,1.008529687
Age 11-60 All,0.003925128,0.002185791,1.003932841,0.999641042,1.008243,0.01863779,0.01995357,1.001865517,0.997954973,1.005791384,0.000262532,0.000736814,1.003366062,0.984989025,1.022086,0.000313076,0.000276027,1.002037066,0.998519507,1.005567,,1.003932841,0.999641042,1.008243067,1.001865517,0.997954973,1.005791384,1.003366062,0.984989025,1.022085961,1.002037066,0.998519507,1.005567017
Age 11-60 Female,0.00465432,0.002927135,1.004665168,0.998917721,1.010446,0.01401785,0.02667966,1.001402768,0.996179887,1.006653032,0.000350185,0.000960719,1.004492429,0.980571072,1.028997,0.000461255,0.000368538,1.003002656,0.998304422,1.007723,,1.004665168,0.998917721,1.010445684,1.001402768,0.996179887,1.006653032,1.004492429,0.980571072,1.028997355,1.003002656,0.998304422,1.007723001
